Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes
108,Burundi,2010,Urban population (percent growth rate per annum),,,5.9,Data refers to a 5-year period preceding the reference year.
108,Burundi,2010,Rural population (percent growth rate per annum),,,3,Data refers to a 5-year period preceding the reference year.
108,Burundi,2010,Capital city population (thousands),Bujumbura,,556,
108,Burundi,2010,Capital city population (as a percentage of total population),Bujumbura,,6.3,
108,Burundi,2010,Capital city population (as a percentage of total urban population),Bujumbura,,59.6,
108,Burundi,2015,Urban population (percent),,,12.1,
108,Burundi,2015,Urban population (percent growth rate per annum),,,5.6,Data refers to a 5-year period preceding the reference year.
108,Burundi,2015,Rural population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.
108,Burundi,2015,Capital city population (thousands),Bujumbura,,751,
108,Burundi,2015,Capital city population (as a percentage of total population),Bujumbura,,7.4,
108,Burundi,2015,Capital city population (as a percentage of total urban population),Bujumbura,,61,
108,Burundi,2018,Urban population (percent),,,13,
108,Burundi,2018,Capital city population (thousands),Bujumbura,,899,
132,Cabo Verde,2005,Urban population (percent),,,57.7,
132,Cabo Verde,2005,Urban population (percent growth rate per annum),,,3.3,Data refers to a 5-year period preceding the reference year.
132,Cabo Verde,2005,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
132,Cabo Verde,2010,Urban population (percent),,,61.8,
132,Cabo Verde,2010,Urban population (percent growth rate per annum),,,2.5,Data refers to a 5-year period preceding the reference year.
132,Cabo Verde,2010,Rural population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.
132,Cabo Verde,2015,Urban population (percent),,,64.3,
132,Cabo Verde,2015,Urban population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.
132,Cabo Verde,2015,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.
132,Cabo Verde,2018,Urban population (percent),,,65.7,
132,Cabo Verde,2018,Capital city population (thousands),Praia,,168,
116,Cambodia,2005,Urban population (percent),,,19.2,
116,Cambodia,2005,Urban population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.
116,Cambodia,2005,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.
116,Cambodia,2005,Capital city population (thousands),Phnom Penh,,"1,317",Refers to the municipality of Phnom Penh including suburban areas.
116,Cambodia,2005,Capital city population (as a percentage of total population),Phnom Penh,,9.9,Refers to the municipality of Phnom Penh including suburban areas.
116,Cambodia,2005,Capital city population (as a percentage of total urban population),Phnom Penh,,51.8,Refers to the municipality of Phnom Penh including suburban areas.
116,Cambodia,2010,Urban population (percent),,,20.3,
116,Cambodia,2010,Urban population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.
116,Cambodia,2010,Rural population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.
116,Cambodia,2010,Capital city population (thousands),Phnom Penh,,"1,523",Refers to the municipality of Phnom Penh including suburban areas.
116,Cambodia,2010,Capital city population (as a percentage of total population),Phnom Penh,,10.6,Refers to the municipality of Phnom Penh including suburban areas.
116,Cambodia,2010,Capital city population (as a percentage of total urban population),Phnom Penh,,52.4,Refers to the municipality of Phnom Penh including suburban areas.
116,Cambodia,2015,Urban population (percent),,,22.2,
116,Cambodia,2015,Urban population (percent growth rate per annum),,,3.4,Data refers to a 5-year period preceding the reference year.
116,Cambodia,2015,Rural population (percent growth rate per annum),,,1.1,Data refers to a 5-year period preceding the reference year.
116,Cambodia,2015,Capital city population (thousands),Phnom Penh,,"1,779",Refers to the municipality of Phnom Penh including suburban areas.
116,Cambodia,2015,Capital city population (as a percentage of total population),Phnom Penh,,11.5,Refers to the municipality of Phnom Penh including suburban areas.
116,Cambodia,2015,Capital city population (as a percentage of total urban population),Phnom Penh,,51.7,Refers to the municipality of Phnom Penh including suburban areas.
116,Cambodia,2018,Urban population (percent),,,23.4,
116,Cambodia,2018,Capital city population (thousands),Phnom Penh,,"1,952",Refers to the municipality of Phnom Penh including suburban areas.
120,Cameroon,2005,Urban population (percent),,,48.5,
120,Cameroon,2005,Urban population (percent growth rate per annum),,,3.9,Data refers to a 5-year period preceding the reference year.
120,Cameroon,2005,Rural population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
120,Cameroon,2005,Capital city population (thousands),Yaoundé,,"1,781",
120,Cameroon,2005,Capital city population (as a percentage of total population),Yaoundé,,10.2,
120,Cameroon,2005,Capital city population (as a percentage of total urban population),Yaoundé,,21.1,
120,Cameroon,2010,Urban population (percent),,,51.6,
120,Cameroon,2010,Urban population (percent growth rate per annum),,,3.9,Data refers to a 5-year period preceding the reference year.
120,Cameroon,2010,Rural population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
120,Cameroon,2010,Capital city population (thousands),Yaoundé,,"2,349",
120,Cameroon,2010,Capital city population (as a percentage of total population),Yaoundé,,11.8,
120,Cameroon,2010,Capital city population (as a percentage of total urban population),Yaoundé,,22.8,
120,Cameroon,2015,Urban population (percent),,,54.6,
120,Cameroon,2015,Urban population (percent growth rate per annum),,,3.8,Data refers to a 5-year period preceding the reference year.
120,Cameroon,2015,Rural population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.
120,Cameroon,2015,Capital city population (thousands),Yaoundé,,"3,097",
120,Cameroon,2015,Capital city population (as a percentage of total population),Yaoundé,,13.6,
120,Cameroon,2015,Capital city population (as a percentage of total urban population),Yaoundé,,24.8,
120,Cameroon,2018,Urban population (percent),,,56.4,
120,Cameroon,2018,Capital city population (thousands),Yaoundé,,"3,656",
124,Canada,2005,Urban population (percent),,,80.1,
124,Canada,2005,Urban population (percent growth rate per annum),,,1.1,Data refers to a 5-year period preceding the reference year.
124,Canada,2005,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
124,Canada,2005,Capital city population (thousands),Ottawa,,"1,122",Refers to the Census Metropolitan Area.
124,Canada,2005,Capital city population (as a percentage of total population),Ottawa,,3.5,Refers to the Census Metropolitan Area.
124,Canada,2005,Capital city population (as a percentage of total urban population),Ottawa,,4.3,Refers to the Census Metropolitan Area.
124,Canada,2010,Urban population (percent),,,80.9,
124,Canada,2010,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.
124,Canada,2010,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.
124,Canada,2010,Capital city population (thousands),Ottawa,,"1,218",Refers to the Census Metropolitan Area.
124,Canada,2010,Capital city population (as a percentage of total population),Ottawa,,3.6,Refers to the Census Metropolitan Area.
124,Canada,2010,Capital city population (as a percentage of total urban population),Ottawa,,4.4,Refers to the Census Metropolitan Area.
124,Canada,2015,Urban population (percent),,,81.3,
124,Canada,2015,Urban population (percent growth rate per annum),,,1.1,Data refers to a 5-year period preceding the reference year.
124,Canada,2015,Rural population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.
124,Canada,2015,Capital city population (thousands),Ottawa,,"1,308",Refers to the Census Metropolitan Area.
124,Canada,2015,Capital city population (as a percentage of total population),Ottawa,,3.6,Refers to the Census Metropolitan Area.
124,Canada,2015,Capital city population (as a percentage of total urban population),Ottawa,,4.5,Refers to the Census Metropolitan Area.
124,Canada,2018,Urban population (percent),,,81.4,
124,Canada,2018,Capital city population (thousands),Ottawa,,"1,363","Refers to Ottawa-Gatineau, the Census Metropolitan Area."
136,Cayman Islands,2005,Urban population (percent),,,100,
136,Cayman Islands,2005,Urban population (percent growth rate per annum),,,3.1,Data refers to a 5-year period preceding the reference year.
136,Cayman Islands,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
136,Cayman Islands,2010,Urban population (percent),,,100,
136,Cayman Islands,2010,Urban population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.
136,Cayman Islands,2010,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
136,Cayman Islands,2015,Urban population (percent),,,100,
136,Cayman Islands,2015,Urban population (percent growth rate per annum),,,1.5,Data refers to a 5-year period preceding the reference year.
136,Cayman Islands,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.
136,Cayman Islands,2018,Urban population (percent),,,100,
136,Cayman Islands,2018,Capital city population (thousands),George Town,,35,
140,Central African Republic,2005,Urban population (percent),,,38.1,
140,Central African Republic,2005,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.
140,Central African Republic,2005,Rural population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.
140,Central African Republic,2005,Capital city population (thousands),Bangui,,644,
140,Central African Republic,2005,Capital city population (as a percentage of total population),Bangui,,15.6,
140,Central African Republic,2005,Capital city population (as a percentage of total urban population),Bangui,,41,
140,Central African Republic,2010,Urban population (percent),,,38.9,
140,Central African Republic,2010,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.
